,id,category,crop,pest_type,question_type,difficulty,risk_level,Is_Trap_Question,Trap_Explanation,question,reference_points,trap_question
✅,1,disease_identification,soybean,disease,diagnosis,expert,medium,FALSE,,Soybeans in my field have yellowing between the veins on the upper leaves. Could this be Sudden Death Syndrome or Brown Stem Rot? How can I tell the difference?,Foliar symptoms can overlap with other diseases; split stem to inspect pith; SDS typically has white pith with root/crown symptoms,FALSE
✅,2,disease_identification,corn,disease,diagnosis,easy,medium,FALSE,,Corn leaves have long gray lesions with dark borders. Is this gray leaf spot or northern corn leaf blight?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
✅,3,disease_identification,tomato,disease,diagnosis,easy,medium,FALSE,,My tomatoes have dark spots on the lower leaves that spread quickly after rain. Is this early blight or Septoria leaf spot?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
✅,4,disease_identification,peanut,disease,diagnosis,expert,medium,FALSE,,Peanut plants are showing leaf spots late in the season. How can I distinguish between early and late leaf spot?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
✅,5,disease_identification,cucurbits,disease,diagnosis,easy,medium,FALSE,,My cucumbers have yellow patches on the top of the leaves and fuzzy growth underneath. Is this downy mildew or powdery mildew?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
✅,6,disease_identification,soybean,disease,diagnosis,easy,medium,FALSE,,Some soybean plants are wilting even though the soil is moist. Could this be Phytophthora root rot or something else?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,7,disease_identification,fruit,disease,diagnosis,easy,medium,FALSE,,Apple leaves have olive-green spots that later turn brown. Is this apple scab or a nutrient issue?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,8,disease_identification,wheat,disease,diagnosis,easy,medium,FALSE,,My wheat has yellow streaks on the leaves. Could this be stripe rust or a viral disease?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,9,disease_identification,potato,disease,diagnosis,easy,medium,FALSE,,Potato plants have brown lesions with yellow halos. Is this early blight or late blight?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,10,disease_identification,vegetable,disease,diagnosis,easy,medium,FALSE,,My peppers have water-soaked lesions on the fruit. Could this be bacterial spot or anthracnose?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,11,disease_identification,fruit,disease,diagnosis,easy,medium,FALSE,,My grape leaves have white powdery growth on them. Is this powdery mildew or something else?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,12,disease_identification,soybean,disease,diagnosis,easy,medium,FALSE,,Soybean stems are turning brown inside when split. Does that indicate Brown Stem Rot or another disease?,Stem split is important; Brown Stem Rot typically causes brown pith discoloration; foliar symptoms can resemble SDS,FALSE
,13,pest_identification,soybean,insect,diagnosis,easy,medium,FALSE,,I'm seeing small green insects on my soybean leaves. Could these be soybean aphids or something else?,Confirm pest identity; use scouting counts and economic thresholds; avoid unnecessary sprays if threshold not met,FALSE
,14,pest_identification,corn,insect,diagnosis,easy,medium,FALSE,,Corn plants have ragged holes in the leaves. Could this be fall armyworm or corn earworm?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,15,pest_identification,cucurbits,insect,diagnosis,easy,medium,FALSE,,My cucumbers have striped beetles feeding on the leaves. Are these striped cucumber beetles?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,16,pest_identification,tomato,insect,diagnosis,easy,medium,FALSE,,I’m seeing webbing and tiny mites on my tomatoes. Could this be spider mites?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,17,pest_identification,general,insect,diagnosis,easy,medium,FALSE,,There are small white flies flying up when I disturb my plants. Are these whiteflies and how serious are they?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,18,pest_identification,soybean,insect,diagnosis,easy,medium,FALSE,,Soybean leaves have skeletonized areas. Could this be Japanese beetle feeding?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,19,pest_identification,vegetable,insect,diagnosis,easy,medium,FALSE,,My cabbage plants have green caterpillars chewing holes in the leaves. Are these cabbage loopers or imported cabbageworms?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,20,pest_identification,corn,insect,diagnosis,easy,medium,FALSE,,Corn ears are being damaged at the tip. Is this corn earworm or another insect?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,21,pest_identification,vegetable,insect,diagnosis,easy,medium,FALSE,,There are small maggots in my onion bulbs. Could this be onion maggot?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,22,pest_identification,bean,insect,diagnosis,easy,medium,FALSE,,My beans have small holes in the leaves and I see flea-like beetles. Are these flea beetles?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,23,pest_identification,soybean,insect,diagnosis,easy,medium,FALSE,,Soybean pods are being punctured late in the season. Could this be stink bugs?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,24,pest_identification,cucurbits,insect,diagnosis,easy,medium,FALSE,,I’m seeing sawdust-like material at the base of my squash plants. Could this be squash vine borer?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,25,treatment_decisions,soybean,insect,treatment,moderate,high,FALSE,,At what point should I consider spraying for soybean aphids?,Confirm pest identity; use scouting counts and economic thresholds; avoid unnecessary sprays if threshold not met,FALSE
,26,treatment_decisions,corn,disease,treatment,easy,high,FALSE,,Is it worth applying a fungicide for corn gray leaf spot at VT stage?,Disease identity and crop stage matter; fungicides are often most effective preventively; treatment should consider economics and label directions,TRUE
,27,treatment_decisions,soybean,disease,treatment,easy,high,FALSE,,"If I confirm Sudden Death Syndrome in soybeans, is there any in-season treatment that works?",Foliar symptoms can overlap with other diseases; split stem to inspect pith; SDS typically has white pith with root/crown symptoms,FALSE
,28,treatment_decisions,general,insect,treatment,moderate,high,FALSE,,Should I apply insecticide for Japanese beetles if I only see a few per plant?,Base treatment on scouting and thresholds; consider crop stage and pressure; avoid unnecessary inputs,TRUE
,29,treatment_decisions,general,disease,treatment,easy,high,FALSE,,Is it too late to spray for powdery mildew once symptoms are widespread?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,30,treatment_decisions,corn,insect,treatment,moderate,high,FALSE,,What thresholds should I use before spraying for fall armyworm in corn?,Base treatment on scouting and thresholds; consider crop stage and pressure; avoid unnecessary inputs,FALSE
,31,treatment_decisions,wheat,disease,treatment,moderate,high,FALSE,,"If my wheat has stripe rust early in the season, should I apply fungicide immediately?",Disease identity and crop stage matter; fungicides are often most effective preventively; treatment should consider economics and label directions,TRUE
,32,treatment_decisions,soybean,disease,treatment,easy,high,FALSE,,Are seed treatments effective for preventing early soybean diseases like SDS?,Foliar symptoms can overlap with other diseases; split stem to inspect pith; SDS typically has white pith with root/crown symptoms,FALSE
,33,treatment_decisions,soybean,insect,treatment,easy,high,FALSE,,Is there any benefit to spraying insecticide for stink bugs late in soybean maturity?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,TRUE
,34,treatment_decisions,cucurbits,insect,treatment,moderate,high,FALSE,,"If cucumber beetles are present early, should I spray right away or monitor first?",Base treatment on scouting and thresholds; consider crop stage and pressure; avoid unnecessary inputs,TRUE
,35,treatment_decisions,soybean,disease,treatment,easy,high,FALSE,,Is a foliar fungicide justified for soybeans if disease pressure is low?,Disease identity and crop stage matter; fungicides are often most effective preventively; treatment should consider economics and label directions,TRUE
,36,treatment_decisions,soybean,insect,treatment,moderate,high,FALSE,,How do I decide if spider mites require treatment in soybeans during dry conditions?,Provide a direct answer; note key decision factors; recommend confirmation or next steps when uncertainty remains,FALSE
,37,prevention_management,soybean,disease,prevention,easy,low,FALSE,,What crop rotation strategies help reduce Sudden Death Syndrome in soybeans?,Foliar symptoms can overlap with other diseases; split stem to inspect pith; SDS typically has white pith with root/crown symptoms,FALSE
,38,prevention_management,corn,disease,prevention,moderate,low,FALSE,,How can I reduce the risk of gray leaf spot in corn next season?,Emphasize integrated pest management; include cultural or preventive practices; align actions to risk reduction,FALSE
,39,prevention_management,soybean,nematode,prevention,easy,low,FALSE,,What resistant soybean varieties help manage soybean cyst nematode?,Emphasize integrated pest management; include cultural or preventive practices; align actions to risk reduction,FALSE
